Category Name,SubCategory Name,Code Name,Interested
homeservices,Gardeners,gardeners,1
homeservices,General Contractors,contractors,1
homeservices,Glass & Mirrors,glassandmirrors,1
homeservices,Grout Services,groutservices,1
homeservices,Gutter Services,gutterservices,1
homeservices,Handyman,handyman,1
homeservices,Heating & Air Conditioning/HVAC,hvac,1
homeservices,Holiday Decorating Services,seasonaldecorservices,1
homeservices,Home Automation,homeautomation,1
homeservices,Home Cleaning,homecleaning,1
homeservices,Home Energy Auditors,homeenergyauditors,1
homeservices,Home Inspectors,home_inspectors,1
homeservices,Home Network Installation,homenetworkinstall,1
homeservices,Home Organization,home_organization,1
homeservices,Home Theatre Installation,hometheatreinstallation,1
homeservices,Home Window Tinting,homewindowtinting,1
homeservices,House Sitters,housesitters,1
homeservices,Insulation Installation,insulationinstallation,1
homeservices,Interior Design,interiordesign,1
homeservices,Internet Service Providers,isps,1
homeservices,Irrigation,irrigation,1
homeservices,Keys & Locksmiths,locksmiths,1
homeservices,Landscape Architects or Designers,landscapearchitects,1
homeservices,Landscaping,landscaping,1
homeservices,Lawn Services,lawnservices,1
homeservices,Lighting Fixtures & Equipment,lighting,1
homeservices,Masonry/Concrete,masonry_concrete,1
homeservices,Mobile Home Repair,mobile_home_repair,1
homeservices,Movers,movers,1
homeservices,Packing Services,packingservices,1
homeservices,Painters,painters,1
homeservices,Patio Coverings,patiocoverings,1
homeservices,Plumbing,plumbing,1
homeservices,Backflow Services,backflowservices,1
homeservices,Pool & Hot Tub Service,poolservice,1
homeservices,Pool Cleaners,poolcleaners,1
homeservices,Pressure Washers,pressurewashers,1
homeservices,Real Estate,realestate,1
homeservices,Apartments,apartments,1
homeservices,Art Space Rentals,artspacerentals,1
homeservices,Commercial Real Estate,commercialrealestate,1
homeservices,Condominiums,condominiums,1
homeservices,Estate Liquidation,estateliquidation,1
homeservices,Home Developers,homedevelopers,1
homeservices,Home Staging,homestaging,1
homeservices,Homeowner Association,homeownerassociation,1
homeservices,Housing Cooperatives,housingcooperatives,1
homeservices,Kitchen Incubators,kitchenincubators,1
homeservices,Mobile Home Dealers,mobilehomes,1
homeservices,Mobile Home Parks,mobileparks,1
homeservices,Mortgage Brokers,mortgagebrokers,1
homeservices,Property Management,propertymgmt,1
homeservices,Real Estate Agents,realestateagents,1
homeservices,Apartment Agents,apartmentagents,1
homeservices,Real Estate Services,realestatesvcs,1
homeservices,Land Surveying,landsurveying,1
homeservices,Real Estate Photography,estatephotography,1
homeservices,Shared Office Spaces,sharedofficespaces,1
homeservices,University Housing,university_housing,1
homeservices,Refinishing Services,refinishing,1
homeservices,Roof Inspectors,roofinspectors,1
homeservices,Roofing,roofing,1
homeservices,Sauna Installation & Repair,saunainstallation,1
homeservices,Security Systems,securitysystems,1
homeservices,Shades & Blinds,blinds,1
homeservices,Shutters,shutters,1
homeservices,Siding,vinylsiding,1
